t_date,meter_id,t_time,pay_type,duration
223,1,13,C,135
17,1,13,A,195
8,1,15,C,75
118,1,14,C,135
277,1,11,A,105
27,1,16,A,135
230,1,13,A,75
155,1,14,A,45
29,1,15,CC,195
111,1,18,A,15
79,1,9,C,195
347,1,15,C,45
149,1,15,A,45
211,1,15,C,165
100,1,14,A,195
330,1,16,CC,165
118,1,12,A,105
59,1,18,CC,75
232,1,17,A,105
144,1,13,C,135
135,1,16,C,15
53,1,16,CC,135
212,1,14,C,135
315,1,14,CC,135
335,1,14,A,15
74,1,10,CC,45
60,1,16,C,15
228,1,18,C,105
71,1,10,CC,15
246,1,10,A,45
170,1,12,CC,135
144,1,16,CC,105
30,1,16,A,165
139,1,13,A,165
55,1,16,C,15
29,1,14,C,195
319,1,15,CC,195
102,1,16,CC,15
353,1,11,C,225
226,1,17,A,15
336,1,13,C,135
8,1,12,A,105
203,1,15,C,75
231,1,15,C,105
181,1,17,CC,225
22,1,12,CC,105
156,1,9,A,135
349,1,18,CC,75
249,1,17,C,225
253,1,9,A,195
231,1,10,C,225
197,1,12,C,45
63,1,15,A,15
267,1,14,C,15
69,1,17,C,105
93,1,12,C,105
77,1,9,A,75
265,1,12,A,225
301,1,11,A,195
34,1,15,C,15
48,1,12,CC,15
69,1,10,CC,105
79,1,12,C,105
10,1,9,C,45
181,1,10,C,225
55,1,13,C,105
175,1,14,C,165
363,1,13,A,135
259,1,12,A,75
238,1,11,CC,45
207,1,17,CC,195
214,1,18,C,75
57,1,16,A,195
267,1,15,CC,105
357,1,14,C,105
175,1,17,C,195
328,1,10,CC,165
272,1,13,A,15
269,1,9,CC,15
294,1,13,C,105
204,1,13,A,135
357,1,16,C,165
239,1,18,A,225
265,1,17,A,105
326,1,12,A,165
256,1,9,C,15
185,1,18,C,105
318,1,15,CC,15
200,1,18,CC,75
160,1,9,CC,135
268,1,9,CC,75
200,1,13,A,45
305,1,11,CC,135
237,1,13,C,105
32,1,17,C,225
276,1,10,C,225
160,1,11,C,195
172,1,12,A,45
330,1,18,CC,135
283,1,9,CC,15
137,1,15,C,75
272,1,10,A,225
48,1,14,A,165
43,1,18,CC,15
157,1,12,CC,165
139,1,13,C,135
279,1,16,CC,75
25,1,12,A,195
269,1,10,C,105
188,1,12,C,135
213,1,16,CC,195
363,1,18,C,45
140,1,16,CC,225
125,1,13,C,75
114,1,13,CC,195
239,1,15,A,165
245,1,18,A,195
238,1,15,A,165
293,1,13,A,195
238,1,17,CC,105
39,1,14,A,165
133,1,16,CC,165
72,1,16,CC,135
135,1,14,A,195
197,1,12,CC,195
251,2,12,A,165
338,2,17,C,195
165,2,16,A,105
207,2,11,C,45
233,2,9,CC,225
128,2,17,A,165
294,2,12,CC,225
356,2,14,C,165
4,2,9,CC,15
73,2,14,A,165
226,2,18,CC,225
303,2,14,A,165
118,2,9,CC,15
346,2,14,A,15
253,2,14,A,165
267,2,18,C,105
20,2,12,C,105
55,2,16,A,75
238,2,16,C,225
325,2,14,CC,15
59,2,18,A,135
43,2,12,A,105
359,2,10,A,225
262,2,17,A,195
59,2,13,CC,195
298,2,12,A,135
175,2,17,C,105
57,2,11,CC,45
241,2,9,CC,45
254,2,9,C,135
263,2,18,CC,135
15,2,9,C,105
249,2,11,CC,165
29,2,17,A,45
203,2,15,CC,225
50,2,9,A,15
193,2,16,C,135
268,2,13,C,135
224,2,16,C,105
195,2,17,CC,135
217,2,11,C,135
224,2,18,C,195
252,2,9,CC,225
185,2,11,CC,75
179,2,15,A,105
80,2,14,C,195
148,2,17,C,225
304,2,17,A,15
78,2,18,A,135
170,2,17,CC,75
336,2,15,C,75
129,2,17,CC,105
64,2,17,C,45
1,2,10,A,135
235,2,9,A,45
291,2,11,CC,195
164,2,17,A,195
141,2,15,C,105
172,2,15,A,135
25,2,17,C,15
15,2,13,C,135
1,2,18,CC,165
297,2,12,C,15
351,2,18,C,75
116,2,16,C,165
358,2,16,CC,105
60,2,17,CC,135
9,2,9,A,195
343,2,18,A,75
354,2,15,CC,45
290,2,16,A,105
319,2,12,A,105
142,2,13,CC,15
42,2,14,CC,165
309,2,10,A,45
43,2,17,CC,105
74,2,15,CC,105
232,2,12,CC,75
37,2,14,A,195
24,2,15,C,75
43,2,14,CC,105
248,2,17,C,15
170,2,13,C,75
349,2,15,CC,165
259,2,10,CC,195
221,2,9,C,195
167,2,11,A,45
303,2,17,CC,45
287,2,11,CC,165
140,2,16,A,45
291,2,18,CC,75
338,2,12,CC,225
259,2,12,A,165
155,2,11,C,45
174,2,9,C,165
242,2,16,A,75
106,2,17,CC,45
112,2,13,CC,15
137,2,17,C,135
123,2,17,A,135
312,2,10,C,165
307,2,17,C,75
360,2,9,CC,75
132,2,16,CC,225
205,2,12,A,105
44,2,18,CC,45
263,2,14,A,165
223,2,13,C,135
223,2,10,C,225
287,2,15,A,45
122,2,17,CC,195
32,2,14,CC,45
122,2,13,CC,105
323,2,9,C,135
125,2,12,CC,45
214,2,15,C,15
364,2,11,C,15
246,2,10,C,45
342,2,16,C,75
272,2,12,CC,225
64,2,18,A,225
36,2,15,C,75
57,2,17,A,105
189,2,13,A,135
319,2,18,C,15
163,2,13,C,105
284,2,18,CC,225
41,2,9,C,75
168,2,17,CC,225
352,2,18,A,165
338,2,13,CC,225
106,2,10,CC,135
95,2,16,CC,135
225,2,13,CC,225
242,2,10,CC,195
38,2,10,C,135
48,2,11,C,75
198,2,16,CC,75
240,2,14,A,135
311,2,11,CC,135
74,2,11,A,75
55,2,10,CC,15
132,2,10,CC,165
178,2,16,CC,195
252,2,10,C,195
31,2,10,CC,165
301,2,14,C,45
238,2,11,C,225
337,2,15,C,105
360,2,14,C,195
172,2,15,C,135
168,2,10,CC,165
6,2,13,CC,135
252,2,18,A,45
46,2,14,A,105
185,2,10,C,105
72,2,13,CC,225
181,2,10,CC,105
147,2,18,C,15
309,2,12,CC,15
357,2,15,CC,225
111,2,10,CC,225
356,2,12,C,195
132,2,16,C,195
48,2,13,CC,195
22,2,12,CC,45
8,2,12,CC,225
98,2,17,C,105
335,2,11,A,135
127,2,10,A,225
340,2,11,C,195
245,2,16,C,135
46,2,17,CC,105
141,2,9,CC,75
174,2,17,A,225
213,2,11,A,165
302,2,10,C,195
25,2,11,C,165
154,2,16,A,135
259,2,15,A,165
190,2,17,A,195
51,2,17,CC,135
165,2,15,C,165
338,2,16,A,45
170,2,18,C,45
83,2,15,CC,75
178,2,12,A,75
9,2,12,CC,75
74,2,10,A,105
105,2,9,C,15
39,2,17,CC,105
22,2,16,A,45
44,2,14,C,45
203,2,11,CC,195
312,2,10,C,105
154,2,10,CC,135
197,2,16,A,135
175,2,15,C,45
112,2,9,CC,225
272,2,13,A,165
165,2,14,A,75
230,2,9,A,225
255,2,10,CC,45
221,2,13,A,195
53,2,13,A,105
281,2,17,A,45
10,2,17,C,165
13,2,9,A,75
283,2,16,CC,135
181,2,16,A,195
27,2,16,C,105
228,2,16,CC,225
7,2,10,CC,135
269,2,13,A,45
55,2,16,C,15
286,2,11,C,195
310,2,11,C,165
11,2,13,A,195
295,2,14,C,105
358,2,11,CC,75
172,2,18,CC,15
122,2,14,C,135
281,2,10,C,75
294,2,10,C,225
169,2,18,C,45
39,2,17,A,75
256,2,16,CC,75
10,2,14,CC,45
39,2,13,A,135
318,2,13,C,45
86,2,17,CC,45
4,2,14,C,75
178,2,9,A,165
266,2,17,A,15
261,2,11,A,165
172,2,17,CC,15
346,2,15,CC,165
302,2,18,A,165
340,2,13,A,225
230,2,11,C,15
312,2,14,A,165
291,2,10,A,15
232,2,14,CC,105
0,2,12,A,135
62,2,15,CC,225
350,2,17,C,15
164,2,18,C,45
157,2,13,A,75
86,2,15,A,105
335,2,14,CC,165
301,2,17,CC,45
253,2,15,C,225
30,2,17,C,75
308,2,15,C,135
134,2,18,C,45
293,2,17,A,15
360,2,14,C,75
233,2,18,A,135
308,2,15,CC,105
239,2,16,CC,135
234,2,13,A,135
170,2,9,C,165
224,2,16,C,15
205,2,13,C,165
204,2,15,A,165
121,2,10,A,135
105,2,13,CC,105
10,2,10,A,75
297,2,18,A,75
283,2,13,A,105
315,2,13,A,135
312,2,10,A,225
13,2,18,A,225
258,2,14,A,165
214,2,12,CC,135
55,2,14,CC,225
339,2,11,C,75
244,2,16,CC,15
106,2,12,CC,225
287,2,10,C,165
279,2,18,C,105
48,2,13,C,45
38,2,15,A,45
364,2,14,CC,195
4,2,11,C,195
27,2,12,A,45
39,2,15,CC,195
315,2,9,A,45
268,2,10,C,165
346,2,13,A,105
336,2,11,A,15
353,2,13,A,75
259,2,17,CC,45
235,2,14,A,165
340,2,13,A,75
323,2,13,C,15
339,2,12,CC,165
218,2,11,A,75
86,2,9,C,135
206,2,10,CC,45
156,2,18,C,15
189,2,15,A,135
316,2,9,C,15
88,2,18,CC,105
62,2,15,C,45
351,2,11,CC,75
171,2,10,C,225
128,2,18,A,45
24,2,12,A,75
204,2,11,CC,225
325,2,10,CC,195
127,2,17,C,225
209,2,15,A,135
210,2,16,CC,105
50,2,9,CC,195
343,2,16,A,165
48,2,13,C,45
346,2,18,A,165
246,2,15,A,135
91,2,14,C,195
15,2,15,C,165
128,2,11,C,75
293,2,18,A,135
288,2,11,A,165
238,2,14,C,165
135,2,13,C,165
126,2,14,A,15
143,2,11,A,15
30,2,13,C,225
106,2,10,CC,15
254,2,11,A,135
169,2,16,A,45
237,2,14,A,105
143,2,18,CC,135
107,2,13,CC,15
114,2,14,CC,195
345,2,9,CC,225
235,2,16,C,75
95,2,18,A,75
185,2,10,C,75
121,2,9,A,165
242,2,18,CC,75
244,2,12,CC,195
269,2,12,CC,135
179,2,17,C,225
302,2,10,CC,225
127,2,9,CC,225
175,2,14,CC,165
144,2,12,CC,195
297,2,16,A,135
352,2,13,CC,165
130,2,15,A,135
310,2,14,C,135
32,2,9,C,135
309,2,14,A,225
148,2,14,CC,135
142,2,16,CC,195
282,2,16,C,225
185,2,9,C,15
210,2,13,CC,105
351,2,18,A,225
44,2,14,A,165
247,2,10,C,225
213,2,9,C,135
338,2,18,CC,135
358,2,15,C,75
0,2,18,C,225
44,2,18,A,75
119,2,14,CC,75
100,2,14,C,75
267,2,16,C,75
14,2,17,A,165
254,2,10,CC,15
314,2,12,A,15
274,2,16,C,15
120,2,15,C,135
338,2,10,A,105
268,2,12,A,75
31,2,15,CC,75
248,2,14,CC,105
129,2,18,A,165
342,2,11,A,75
76,2,17,A,75
270,2,9,C,75
4,2,12,A,165
108,2,11,CC,75
323,2,14,C,195
310,2,15,C,105
209,2,12,C,135
140,2,11,C,135
71,2,10,CC,105
272,2,17,C,165
163,2,18,A,135
86,2,11,C,105
29,2,16,A,225
77,2,14,C,75
127,2,18,C,15
359,2,17,A,15
207,2,14,A,195
265,2,16,C,135
170,2,12,C,225
196,2,16,C,15
318,2,12,CC,195
337,2,11,C,105
284,2,15,A,45
74,2,16,C,75
352,2,18,A,75
343,2,16,C,105
308,2,9,C,165
51,2,16,CC,195
290,2,18,C,165
58,2,15,CC,105
16,2,12,CC,135
130,2,17,A,105
0,2,12,C,45
284,2,10,CC,75
178,2,10,C,15
302,2,17,A,75
230,2,16,C,135
3,2,11,A,105
283,2,17,CC,195
64,2,14,A,225
121,2,11,C,165
114,2,13,CC,45
241,2,15,CC,105
270,2,11,A,105
340,2,16,A,135
235,2,10,CC,225
247,2,18,CC,75
36,2,13,C,165
298,2,18,A,195
174,2,12,C,105
214,2,16,C,165
360,2,16,A,225
345,2,14,CC,45
198,2,14,CC,165
167,2,11,A,45
169,2,14,A,105
279,2,9,CC,15
112,2,13,CC,135
344,2,10,C,135
213,2,15,CC,165
237,2,18,A,195
316,2,13,A,135
351,2,13,CC,195
191,2,15,C,165
246,2,13,A,75
204,2,14,A,105
241,2,10,A,225
165,2,11,A,15
262,2,14,C,75
197,2,12,CC,195
153,2,16,A,75
123,2,13,CC,15
270,2,13,A,135
274,2,14,CC,45
195,2,17,A,75
273,2,18,C,225
224,2,13,CC,225
203,2,9,C,225
185,2,15,CC,135
190,2,11,C,135
78,2,13,A,15
115,2,15,C,105
309,2,16,CC,165
340,2,17,C,45
353,2,13,CC,195
199,2,11,C,195
337,2,17,C,15
165,2,10,CC,195
161,2,13,C,225
176,2,10,CC,15
361,2,9,A,45
188,2,13,CC,75
178,2,14,A,195
51,2,11,A,225
67,2,18,C,75
321,2,14,CC,225
308,2,14,CC,105
186,2,16,CC,135
342,2,12,A,45
279,2,16,CC,225
142,2,18,C,45
205,2,11,C,195
291,2,12,C,45
52,2,17,CC,75
324,2,14,A,75
101,2,12,CC,135
167,2,9,CC,105
296,2,17,CC,135
62,2,14,A,195
217,2,15,A,135
151,2,14,C,225
178,2,12,C,75
119,2,16,C,75
87,2,9,CC,225
197,2,16,C,105
261,2,11,A,165
41,2,17,CC,75
297,2,10,CC,135
39,2,10,A,135
220,2,14,C,135
195,2,12,A,45
331,2,11,C,105
322,2,12,CC,195
171,2,16,A,75
115,2,15,CC,135
335,2,17,C,75
1,2,17,A,135
217,2,11,CC,105
205,2,18,A,165
62,2,16,CC,165
276,2,17,CC,135
290,2,18,A,105
50,2,11,CC,45
56,2,11,A,105
239,2,9,C,225
345,2,11,A,195
21,2,15,C,15
139,2,9,CC,45
20,2,17,A,45
289,2,11,A,135
270,2,15,C,105
311,2,18,C,135
83,2,12,A,45
0,2,13,CC,105
163,2,14,CC,225
23,2,12,A,225
178,2,11,C,195
20,2,12,C,135
56,2,11,CC,75
225,2,13,C,135
298,2,15,A,15
248,2,13,C,75
154,2,17,C,15
85,2,11,C,195
214,2,18,C,225
310,2,10,C,105
199,2,16,CC,45
279,2,18,CC,75
230,2,16,A,165
206,2,16,CC,45
364,2,14,A,165
15,2,15,C,15
146,2,18,A,45
199,2,15,C,135
270,2,10,C,195
237,2,16,A,225
65,2,11,C,195
92,2,16,A,15
155,2,17,CC,75
2,2,12,A,225
258,2,12,C,225
270,2,14,A,75
123,2,12,C,75
227,2,9,A,165
182,2,17,A,75
115,2,12,A,15
22,2,11,C,75
294,2,17,A,15
254,2,13,CC,75
24,2,9,C,105
16,2,12,CC,195
176,2,13,A,105
213,2,13,C,75
79,2,13,A,15
234,2,11,C,195
325,2,9,CC,165
74,2,13,CC,195
305,2,17,CC,75
346,2,14,C,225
45,2,10,A,165
287,2,16,A,75
27,2,16,A,165
322,2,9,CC,105
8,2,11,CC,75
62,2,16,A,195
191,2,15,A,195
182,2,9,C,165
235,2,10,A,165
361,2,16,A,165
183,2,13,A,195
235,2,9,C,225
37,2,9,A,165
262,2,11,A,75
326,2,18,CC,75
363,2,10,C,45
290,2,18,C,135
183,2,17,A,105
249,2,9,A,165
87,2,14,C,75
114,2,18,A,135
53,2,14,C,225
175,2,18,CC,105
231,2,16,CC,195
230,2,14,C,195
216,2,17,A,195
100,2,18,A,105
225,2,13,A,165
234,2,12,C,105
290,2,9,CC,195
364,2,10,C,45
90,2,18,A,45
364,2,17,A,105
303,2,10,C,225
115,2,9,CC,135
330,2,11,A,135
226,2,9,CC,135
78,2,14,CC,15
296,2,15,CC,45
321,2,12,A,45
128,2,12,A,225
221,2,17,C,75
354,2,10,CC,135
154,2,16,CC,195
218,2,17,A,165
241,2,12,C,225
248,2,9,A,135
94,2,13,C,195
303,2,14,C,225
50,2,17,CC,105
92,2,9,CC,75
254,2,16,C,165
161,2,11,CC,75
263,2,10,A,195
308,2,17,C,15
270,2,11,C,135
319,2,18,CC,225
185,2,10,CC,225
346,2,15,A,165
118,2,11,CC,165
133,2,9,C,105
16,2,16,CC,195
267,2,14,A,195
289,2,13,C,195
90,2,17,CC,135
44,2,16,A,225
360,2,12,CC,135
36,2,12,A,45
230,2,14,C,75
72,2,15,C,165
182,2,13,C,75
175,2,16,A,105
27,2,14,C,195
101,2,12,A,75
291,2,18,A,45
114,2,15,A,75
143,2,9,CC,135
323,2,13,C,165
330,2,16,CC,45
102,2,16,A,195
30,2,12,CC,135
163,2,12,CC,225
13,2,16,A,225
99,2,14,CC,15
190,2,13,A,45
153,2,18,C,75
227,2,18,CC,105
195,2,18,A,45
331,2,15,CC,135
18,2,10,C,195
158,2,14,C,105
1,2,9,C,45
178,2,11,CC,135
256,2,18,C,195
156,2,16,CC,45
150,2,17,CC,195
125,2,18,C,45
361,2,17,A,195
284,2,13,A,165
164,2,9,CC,105
277,2,9,A,165
330,2,13,A,15
290,2,10,C,225
160,2,13,CC,75
92,2,15,A,165
324,2,11,C,75
123,2,11,A,225
143,2,17,C,45
140,2,14,A,225
59,2,10,CC,45
32,2,12,C,165
193,2,16,A,15
174,2,12,CC,195
265,2,18,A,15
256,2,11,CC,45
356,2,11,CC,195
191,2,18,C,225
21,2,16,CC,135
336,2,14,A,15
251,2,12,C,195
167,2,17,CC,165
59,2,18,C,195
142,2,14,CC,15
39,2,15,C,75
227,2,15,CC,45
346,2,11,C,15
64,2,13,A,225
184,2,10,C,75
100,2,18,CC,195
119,2,17,A,45
184,2,17,C,15
149,2,18,CC,225
288,2,13,A,225
268,2,13,CC,45
361,2,10,CC,105
337,2,13,CC,225
331,2,14,CC,225
135,2,11,A,15
272,2,11,CC,45
29,2,11,C,45
223,2,9,C,75
56,2,11,CC,165
91,2,14,C,135
311,2,16,A,15
164,2,9,A,165
230,2,14,A,135
298,2,11,CC,105
24,2,15,A,45
190,2,16,C,195
241,2,16,A,165
295,2,11,CC,45
296,2,14,CC,195
289,2,10,CC,75
73,2,11,CC,165
281,2,11,C,135
132,2,12,A,15
286,2,9,C,45
100,2,17,A,195
64,2,9,A,165
64,2,12,A,135
252,2,14,A,15
24,2,15,A,135
60,2,12,CC,135
141,2,15,CC,45
210,2,16,C,165
314,2,9,A,75
350,2,18,CC,225
269,2,10,C,195
200,2,17,CC,165
4,2,11,A,195
206,2,18,C,105
2,2,11,A,75
179,2,11,CC,75
265,2,11,CC,165
347,2,9,CC,135
60,2,14,C,105
146,2,18,CC,105
155,2,17,A,15
107,2,9,C,135
22,2,10,CC,105
279,2,12,A,45
105,2,10,C,135
302,2,18,A,135
122,2,11,A,75
248,2,13,CC,135
35,2,17,A,225
139,2,17,CC,45
98,2,12,C,165
118,2,16,A,75
276,2,13,CC,165
122,2,11,CC,45
60,2,9,A,195
214,2,9,A,75
360,2,14,CC,225
179,2,18,C,165
60,2,17,A,165
122,2,16,CC,45
262,2,12,CC,45
121,2,10,A,135
161,2,15,C,75
176,2,11,C,45
24,2,11,A,225
339,2,18,A,225
279,2,16,CC,135
136,2,13,CC,225
58,2,13,CC,75
72,2,17,CC,165
238,2,18,CC,165
50,2,16,A,105
27,2,14,CC,225
165,2,14,CC,75
30,2,11,C,75
101,2,9,A,195
3,2,16,A,45
90,2,9,C,225
307,2,11,CC,45
205,2,17,CC,225
92,2,9,C,75
115,2,13,CC,75
206,2,15,C,105
52,2,13,A,195
182,2,10,CC,135
137,2,10,A,165
78,2,14,CC,135
322,2,15,C,195
256,2,16,A,135
183,2,17,C,225
294,2,11,A,195
213,2,11,CC,75
335,2,18,A,45
204,2,18,A,195
4,2,15,A,135
321,2,13,CC,15
34,2,10,C,135
338,2,11,A,225
309,2,18,A,105
115,2,12,A,75
39,2,12,CC,165
86,2,17,CC,195
195,2,15,CC,105
276,2,13,C,75
99,2,15,A,15
192,2,17,C,165
129,2,17,CC,15
343,2,18,A,195
261,2,16,C,195
253,2,17,A,75
157,2,15,A,165
7,2,18,CC,135
178,2,17,CC,195
294,2,18,A,75
321,2,18,C,45
213,2,10,CC,45
119,2,18,CC,135
57,2,14,C,135
235,2,9,C,15
191,2,18,A,225
232,2,10,C,195
69,2,14,A,225
64,2,12,CC,165
204,2,16,C,135
132,2,17,C,165
21,2,14,A,75
268,2,18,CC,165
216,2,18,CC,135
289,2,12,CC,195
73,2,16,A,165
268,2,11,CC,195
46,2,13,A,45
235,2,11,A,15
148,2,9,A,105
66,2,11,CC,45
241,2,14,CC,45
224,2,16,CC,225
286,2,11,A,105
335,2,16,CC,45
209,2,14,C,105
326,2,9,C,225
112,2,17,C,165
211,2,15,A,135
97,2,12,A,105
71,2,14,A,15
363,2,17,CC,135
146,2,16,A,135
259,2,16,A,105
295,2,18,A,15
20,2,11,C,15
38,2,12,A,195
55,2,16,A,15
6,2,9,C,45
244,2,14,A,195
237,2,13,A,105
275,2,16,A,45
340,2,14,C,105
24,2,10,CC,195
189,2,9,A,135
95,2,14,CC,135
360,2,12,CC,165
134,2,15,CC,135
323,2,13,A,105
290,2,10,CC,75
226,2,10,CC,15
44,2,10,C,45
350,2,15,CC,15
266,2,13,CC,165
318,2,10,C,75
310,2,18,C,225
249,2,14,CC,135
195,2,16,A,75
352,2,11,A,165
22,2,11,C,135
60,2,12,C,45
237,2,10,CC,135
286,2,9,A,75
149,2,9,CC,75
246,2,14,CC,75
157,2,10,C,165
230,2,11,CC,165
197,2,11,A,105
280,2,14,CC,15
157,2,16,A,135
224,2,11,A,135
284,2,12,CC,75
305,2,13,CC,225
273,2,15,CC,225
4,2,13,C,105
3,2,13,C,15
83,2,15,A,165
323,2,12,C,105
233,2,15,CC,105
297,2,12,C,225
277,2,12,A,105
95,2,13,CC,135
76,2,14,CC,135
66,2,16,CC,15
